Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,5,55,0.044355605,Donovan Mitchell,,UTA,G,90,33.88018519,20.93333333,2.355555556,4.011111111,3.744444444,1.488888889,0.344444444,0.434267913,17.83333333,0.817647059,3.777777778,2.766666667,1.153724641,0.988336092,-0.611488699,0.275899718,1.129741975,-0.610223707,-1.08532828,0.284937681,-1.126398975
,5,59,-0.016572185,Jayson Tatum,,BOS,F,94,31.11365248,14.5212766,1.29787234,4.936170213,1.819148936,1.063829787,0.70212766,0.472762646,10.93617021,0.828746177,3.478723404,1.553191489,-0.103198534,-0.196628517,-0.258900913,-0.661269387,0.129983691,0.116004964,0.087712165,0.38028815,0.356858711
,6,61,-0.022779151,Lauri Markkanen,,CHI,F,68,29.70735294,15.19117647,2.132352941,7.470588235,1.161764706,0.588235294,0.602941176,0.43437863,12.66176471,0.843373494,2.441176471,1.220588235,0.028118564,0.738273318,0.707096652,-0.981261922,-0.988636126,-0.08538013,-0.751475309,0.364845535,0.763407063
,7,78,-0.08907506,Lonzo Ball,Questionable - left knee contusion,LAL,G,52,34.23269231,10.15384615,1.730769231,6.903846154,7.230769231,1.673076923,0.807692308,0.359929078,10.84615385,0.450704225,1.365384615,2.615384615,-0.959323918,0.288363101,0.491081983,1.972925377,1.562960584,0.330340081,-2.037674604,-1.508864588,-0.94148356
,8,90,-0.14089569,John Collins,,ATL,F,74,24.15157658,10.5,0.216216216,7.310810811,1.324324324,0.635135135,1.081081081,0.576146789,7.364864865,0.715053763,2.513513514,1.418918919,-0.891469123,-1.408450931,0.646197226,-0.902133367,-0.878325573,0.885419988,1.400035174,-0.64031766,0.520983059
,10,113,-0.218271364,Kyle Kuzma,Questionable - sprained ankle,LAL,F,77,31.17943723,16.12987013,2.064935065,6.285714286,1.831168831,0.636363636,0.441558442,0.450433109,13.49350649,0.706730769,2.701298701,1.818181818,0.212125952,0.662742388,0.255480013,-0.655418506,-0.875436082,-0.413046524,-0.428438703,-0.755405954,0.032955142
,12,141,-0.287646368,Jarrett Allen,,BKN,C,72,20.01643519,8.125,0.069444444,5.388888889,0.680555556,0.388888889,1.236111111,0.588383838,5.5,0.775510204,2.041666667,1.138888889,-1.357028407,-1.572885189,-0.08634645,-1.215498353,-1.457507911,1.20018805,1.176967152,-0.139976192,0.86326999
,15,175,-0.371839647,Jonathan Isaac,Questionable - ankle,ORL,F,27,19.82716049,5.37037037,0.592592593,3.666666667,0.666666667,1.222222222,1.074074074,0.381944444,5.333333333,0.76,0.925925926,1,-1.897004574,-0.986781494,-0.742774261,-1.222258997,0.502529881,0.871193183,-0.76885222,-0.135645304,1.033036967
,16,192,-0.404245553,Josh Hart,,LAL,G,63,23.18148148,7.873015873,1.238095238,4.174603175,1.26984127,0.746031746,0.253968254,0.469333333,5.952380952,0.70212766,1.492063492,0.746031746,-1.406423586,-0.263599184,-0.549173432,-0.928653885,-0.617491715,-0.793923699,0.038505107,-0.460917594,1.34346801
,19,217,-0.453451303,Jordan Bell,,GSW,F,64,13.17578125,4.1875,0,3.328125,1.6875,0.578125,0.921875,0.614583333,3,0.666666667,0.75,0.796875,-2.128876693,-1.650686565,-0.871809969,-0.725351661,-1.012415996,0.562173003,0.804611578,-0.340026596,1.28132117
,19,227,-0.48471506,Dillon Brooks,,MEM,F,82,28.65650407,10.95121951,1.146341463,3.134146341,1.646341463,0.890243902,0.219512195,0.440414508,9.414634146,0.746987952,2.024390244,1.512195122,-0.803018836,-0.366394591,-0.945745251,-0.745386253,-0.278298183,-0.863882189,-0.445330832,-0.321348887,0.406969483
,20,232,-0.492814849,Dennis Smith Jr.,Questionable - left knee soreness,DAL,G,69,29.69661836,15.1884058,1.536231884,3.768115942,5.188405797,1.014492754,0.246376812,0.394916911,14.82608696,0.694300518,2.797101449,2.84057971,0.027575442,0.070415168,-0.704106704,0.978771543,0.01394075,-0.809337123,-1.905716957,-0.890131231,-1.216744531
,21,242,-0.510695177,Monte Morris,,DEN,G,3,8.427777778,3.333333333,0,0.666666667,2.333333333,1,0,0.666666667,2,1,0.666666667,0.333333333,-2.296314681,-1.650686565,-1.886229156,-0.410981714,-0.020146864,-1.309572797,0.736464521,0.393292204,1.847918454
,22,254,-0.524813197,Luke Kennard,,DET,G,73,20.0369863,7.643835616,1.109589041,2.397260274,1.698630137,0.602739726,0.164383562,0.443010753,6.369863014,0.855263158,1.04109589,0.945205479,-1.451348637,-0.407569792,-1.226610578,-0.719933885,-0.954521044,-0.975813621,-0.253988244,0.166453504,1.100013528
,24,277,-0.562500059,O.G. Anunoby,,TOR,F,84,20.47123016,6.154761905,1.023809524,2.44047619,0.738095238,0.69047619,0.214285714,0.481203008,4.75,0.643835616,0.869047619,0.607142857,-1.743244254,-0.503672,-1.210138761,-1.187489971,-0.748160901,-0.87449387,0.140250504,-0.448786261,1.513234986
,24,280,-0.569392389,Bam Adebayo,,MIA,C,74,19.5295045,6.675675676,0,5.432432432,1.364864865,0.432432432,0.594594595,0.509859155,4.797297297,0.683937824,2.608108108,0.932432432,-1.641132152,-1.650686565,-0.069749758,-0.882399595,-1.355091522,-0.102326766,0.379793619,-0.918565069,1.115626307
,25,289,-0.591935634,De'Aaron Fox,,SAC,G,73,27.74794521,11.56164384,0.643835616,2.794520548,4.383561644,0.945205479,0.273972603,0.411543287,10.91780822,0.723076923,2.671232877,2.369863014,-0.683360431,-0.929371894,-1.075194177,0.587000477,-0.149026061,-0.753307503,-1.07297801,-0.609806061,-0.641377048
,25,296,-0.603636517,Ivan Rabb,,MEM,F,36,14.32314815,5.583333333,0,4.388888889,0.888888889,0.333333333,0.361111111,0.565789474,4.222222222,0.805555556,1,0.972222222,-1.855258517,-1.650686565,-0.467498082,-1.114088693,-1.588177097,-0.576384235,0.751233975,0.001140203,1.066990362
,26,307,-0.629196873,Justin Jackson,,SAC,F,68,22.18676471,6.661764706,0.838235294,2.75,1.088235294,0.411764706,0.191176471,0.442583732,6.147058824,0.722222222,0.529411765,0.588235294,-1.643859049,-0.711578197,-1.092163256,-1.017053567,-1.403702952,-0.921414147,-0.24765064,-0.16169617,1.536346121
,26,310,-0.630593142,Josh Jackson,Questionable - right quad contusion,PHO,F,77,25.44718615,13.14285714,0.74025974,4.558441558,1.558441558,1.038961039,0.454545455,0.417381974,12.1038961,0.634408602,3.623376623,1.909090909,-0.373403154,-0.82134411,-0.402872805,-0.78817297,0.071491267,-0.386678104,-1.073073076,-1.823120266,-0.078165061
,27,313,-0.638185755,Frank Mason III,Questionable - heel,SAC,G,52,18.92532051,7.942307692,0.596153846,2.5,2.826923077,0.653846154,0.192307692,0.377952756,7.326923077,0.817391304,2.211538462,1.25,-1.39284066,-0.98279168,-1.187451164,-0.170718827,-0.834316408,-0.91911735,-1.128534033,0.144641916,0.727456409
,27,316,-0.641530872,Devin Robinson,,WAS,F,1,13.2,2,0,5,0,1,0,0.333333333,3,0,0,0,-2.557681296,-1.650686565,-0.234572085,-1.54676991,-0.020146864,-1.309572797,-0.660554609,-0.049152925,2.255359198
,28,333,-0.683098572,Tyler Cavanaugh,,ATL,F,39,13.36068376,4.692307692,0.820512821,3.256410256,0.692307692,0.230769231,0.102564103,0.440789474,3.897435897,0.80952381,0.538461538,0.358974359,-2.029921784,-0.73143339,-0.899144161,-1.209777808,-1.829412518,-1.101329892,-0.148112821,-0.01533163,1.816576859
,28,335,-0.685284288,Sterling Brown,,MIL,G,57,13.84093567,3.929824561,0.578947368,2.543859649,0.438596491,0.561403509,0.228070175,0.404761905,3.684210526,0.875,0.421052632,0.438596491,-2.179387511,-1.002068782,-1.170733987,-1.333275888,-1.051745702,-0.846506337,-0.367353248,0.064259906,1.719252956
,29,346,-0.708408299,Frank Ntilikina,,NYK,G,78,21.86324786,5.935897436,0.641025641,2.269230769,3.205128205,0.846153846,0.230769231,0.364,6.41025641,0.720588235,0.871794872,1.679487179,-1.786147153,-0.932520022,-1.275409233,0.01337871,-0.381999994,-0.841026261,-1.135461285,-0.238974134,0.202484682
,31,367,-0.736457925,Tyler Dorsey,,ATL,G,56,17.39672619,7.232142857,1.285714286,2.321428571,1.410714286,0.285714286,0.089285714,0.375979112,6.839285714,0.714285714,1.125,0.660714286,-1.532050694,-0.21024967,-1.255513956,-0.860081639,-1.700179257,-1.128289911,-1.073037156,-0.316472479,1.447753438
,32,374,-0.750377499,Sindarius Thornwell,,LAC,G,73,15.8303653,3.863013699,0.315068493,1.917808219,0.917808219,0.643835616,0.356164384,0.429184549,3.191780822,0.670454545,1.205479452,0.726027397,-2.192484108,-1.29770279,-1.409354511,-1.100011735,-0.857861646,-0.586427914,-0.175202754,-0.502271803,1.36791977
,32,380,-0.762371996,Justin Patton,Out for season - foot fracture surgery (0g),MIN,C,1,3.733333333,2,0,0,0,1,0,0.5,2,0,0,0,-2.557681296,-1.650686565,-2.140330243,-1.54676991,-0.020146864,-1.309572797,0.157633435,-0.049152925,2.255359198
,32,381,-0.762748281,Zach Collins,,POR,C,70,15.93190476,4.571428571,0.542857143,3.328571429,0.828571429,0.285714286,0.471428571,0.39375,4.571428571,0.652173913,0.657142857,0.871428571,-2.053617109,-1.042502098,-0.871639812,-1.143449204,-1.700179257,-0.352399158,-0.55708407,-0.334056501,1.190192682
,32,382,-0.764690915,Jawun Evans,Out for season - abdominal (0g),LAC,G,48,16.20555556,4.8125,0.3125,1.75,2.083333333,0.791666667,0.125,0.353174603,5.25,0.775510204,1.020833333,0.9375,-2.006361092,-1.300580375,-1.473314888,-0.532673307,-0.510156312,-1.055776757,-1.018223049,-0.094564559,1.109432106
,32,383,-0.766285743,Derrick Walton Jr.,,MIA,G,16,9.198958333,1.8125,0.4375,1,1,0.4375,0.1875,0.32,1.5625,1,0.375,0.125,-2.594435976,-1.160537899,-1.759178612,-1.06000354,-1.343172373,-0.928878736,-0.352655925,0.19972246,2.102568919
,32,384,-0.767353897,Wesley Iwundu,,ORL,F,62,16.45510753,3.693548387,0.14516129,2.209677419,0.919354839,0.532258065,0.193548387,0.426605505,3.516129032,0.723404255,0.758064516,0.483870968,-2.225703539,-1.488056593,-1.298108089,-1.099258893,-1.120297108,-0.916598283,-0.214598583,-0.207476946,1.663912957
,33,387,-0.76972897,Malik Monk,,CHA,G,63,13.58465608,6.682539683,1.317460317,1.063492063,1.444444444,0.317460317,0.142857143,0.36,6.746031746,0.842105263,0.603174603,0.777777778,-1.639786635,-0.174683327,-1.734978508,-0.843662932,-1.625511151,-1.019520179,-1.244808339,0.050726214,1.304664129
,33,388,-0.770719059,Josh Gray,Note - waived,FA,G,5,17.28666667,6.4,0.6,2,2.4,1.6,0.4,0.268292683,8.2,0.636363636,2.2,1.4,-1.695171466,-0.97848268,-1.37802698,-0.378530623,1.391080347,-0.497425467,-2.831340525,-1.112682209,0.544108075
,33,393,-0.781038218,Markelle Fultz,,PHI,G,17,16.22941176,6.176470588,0,2.764705882,3.411764706,0.764705882,0.235294118,0.389830508,6.941176471,0.52,1.470588235,1.058823529,-1.73898881,-1.650686565,-1.086558085,0.113962409,-0.573569299,-0.831839074,-0.922924869,-1.299875326,0.961135659
