Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,4,47,0.099367879,LeBron James,,CLE,F,79,39.49367089,20.93670886,0.797468354,5.46835443,5.886075949,1.64556962,0.734177215,0.41689008,18.88607595,0.754347826,5.82278481,3.455696203,1.424845377,-0.033758746,-0.074208975,1.45545124,1.368947794,0.058104636,-1.120589387,-0.18081968,-2.003661346
,6,63,0.010873028,Kirk Hinrich,,CHI,G,76,35.72368421,12.03947368,1.894736842,3.407894737,6.802631579,1.328947368,0.276315789,0.386391252,10.82894737,0.803571429,2.210526316,2.684210526,-0.36782237,1.43932071,-0.873811225,1.933044466,0.609123822,-0.580818292,-1.318935969,0.23127329,-0.973517174
,7,82,-0.053495535,Carmelo Anthony,,DEN,F,82,36.36585366,21.03658537,0.841463415,6.06097561,2.768292683,1.182926829,0.5,0.426229508,17.85365854,0.777142857,6.402439024,3.012195122,1.444969088,0.025304482,0.155769427,-0.169144277,0.258706549,-0.268678062,-0.710430635,0.193509837,-1.411466225
,8,90,-0.090372161,Dwyane Wade,,MIA,G,60,34.75,16.21666667,0.266666667,4.05,4.516666667,1.433333333,0.566666667,0.465384615,13,0.747572816,5.15,3.183333333,0.473823263,-0.746358324,-0.624629542,0.741887791,0.859627247,-0.175648033,0.550674457,-0.25274381,-1.639982497
,9,101,-0.137256877,Chris Bosh,,TOR,F,75,33.44,11.48,0.066666667,7.426666667,1.04,0.786666667,1.413333333,0.459269663,9.493333333,0.701388889,3.84,1.426666667,-0.480548449,-1.014857688,0.685752928,-1.069712503,-0.692230945,1.00583334,0.288580954,-0.663777007,0.705647478
,10,115,-0.215411967,Josh Howard,,DAL,F,67,23.71641791,8.582089552,0.298507463,5.492537313,1.447761194,1.029850746,0.805970149,0.430451128,7.940298507,0.702898551,2.059701493,1,-1.064436644,-0.703612157,-0.064824328,-0.857238783,-0.108642482,0.158288117,-0.230897555,-0.342707932,1.275364057
,11,125,-0.252189795,Marquis Daniels,,DAL,G,56,18.53571429,8.517857143,0.196428571,2.607142857,2.071428571,0.946428571,0.214285714,0.493917275,7.339285714,0.769230769,1.392857143,0.785714286,-1.077378571,-0.840652744,-1.184558873,-0.532261985,-0.308837408,-0.667378188,0.759122801,0.020742782,1.561494035
,11,130,-0.273348872,Leandro Barbosa,,PHO,G,70,21.41428571,7.857142857,1.185714286,1.757142857,2.357142857,1.328571429,0.1,0.446808511,6.714285714,0.770491803,0.871428571,1.714285714,-1.210503207,0.487460182,-1.514418232,-0.383383725,0.608221649,-0.826858238,0.037809568,0.019934693,0.321597463
,15,179,-0.422045257,T.J. Ford,,MIL,G,55,26.76363636,7.109090909,0.090909091,3.218181818,6.472727273,1.090909091,0.054545455,0.384422111,7.236363636,0.816326531,1.781818182,2.527272727,-1.361225153,-0.982312311,-0.947433086,1.761139939,0.037884156,-0.890287804,-0.901962176,0.249751456,-0.763962332
,17,193,-0.44135989,Jarvis Hayes,,WAS,F,70,29.15714286,9.614285714,0.571428571,3.771428571,1.514285714,1.014285714,0.157142857,0.4,9.928571429,0.785714286,1.4,1.571428571,-0.856463636,-0.337216436,-0.73273471,-0.822574592,-0.145995145,-0.747118213,-0.925485472,0.08299841,0.512350782
,18,210,-0.483663425,Keith Bogans,,ORL,G,73,24.47945205,6.821917808,0.917808219,4.342465753,1.342465753,0.630136986,0.136986301,0.4030837,6.219178082,0.631067961,1.410958904,1.02739726,-1.419086494,0.12779714,-0.511132406,-0.91210549,-1.067867852,-0.775245688,-0.529517508,-0.504593753,1.238781229
,20,232,-0.532088573,Boris Diaw,,ATL,F,76,25.15789474,4.5,0.078947368,4.473684211,2.368421053,0.776315789,0.486842105,0.447284345,4.118421053,0.602150538,1.223684211,1.631578947,-1.886920274,-0.998370885,-0.460210481,-0.377506951,-0.71707078,-0.287039252,0.037873738,-0.531585867,0.432033595
,20,235,-0.54275972,Luke Ridnour,,SEA,G,69,16.14492754,5.536231884,0.391304348,1.565217391,2.362318841,0.753623188,0.101449275,0.414285714,5.072463768,0.82278481,1.144927536,1.15942029,-1.678134124,-0.579032634,-1.588898715,-0.380686655,-0.771528047,-0.824835846,-0.308442276,0.184226408,1.062494411
,20,236,-0.542974932,Steve Blake,,WAS,G,75,18.56,5.92,1,1.56,2.786666667,0.76,0.093333333,0.385749386,5.426666667,0.820895522,0.893333333,1.706666667,-1.600810246,0.238139344,-1.590923427,-0.159570074,-0.756225097,-0.836161241,-0.65453356,0.141538943,0.331770974
,21,241,-0.55493438,Marcus Banks,,BOS,G,81,17.07407407,5.925925926,0.333333333,1.641975309,2.160493827,1.086419753,0.160493827,0.400452489,5.456790123,0.755725191,1.617283951,1.543209877,-1.599616256,-0.656858536,-1.559111283,-0.485852404,0.027110729,-0.742442101,-0.491159324,-0.036510698,0.55003045
,21,242,-0.555407854,Brian Cook,,LAL,F,35,12.57142857,4.428571429,0,2.885714286,0.571428571,0.457142857,0.457142857,0.475177305,4.028571429,0.75,0.8,0.485714286,-1.901312126,-1.104357476,-1.076453705,-1.31387285,-1.483015826,-0.328483081,0.271761565,-0.025013186,1.962076004
,22,253,-0.576046327,David West,,NOR,F,71,13.07042254,3.845070423,0,4.183098592,0.845070423,0.38028169,0.394366197,0.473684211,3.211267606,0.7125,1.126760563,0.676056338,-2.018879372,-1.104357476,-0.572977994,-1.17128522,-1.667465772,-0.416084799,0.212199665,-0.153483334,1.707917357
,22,261,-0.590955265,Mickael Pietrus,,GSW,F,53,14.11320755,5.264150943,0.660377358,2.245283019,0.509433962,0.603773585,0.226415094,0.415584416,4.358490566,0.693333333,1.41509434,0.754716981,-1.732954607,-0.217802972,-1.32498576,-1.346176623,-1.131134234,-0.650452239,-0.249375614,-0.268599237,1.602883906
,23,266,-0.604065194,Chris Kaman,,LAC,C,82,22.45121951,6.085365854,0,5.62195122,1.036585366,0.280487805,0.890243902,0.459770115,5.304878049,0.697183099,1.731707317,1.890243902,-1.567491353,-1.104357476,-0.014602695,-1.07149178,-1.906949213,0.275887963,0.178885842,-0.313113242,0.086645205
,23,270,-0.615430862,Mike Sweetney,,NYK,F,42,11.73809524,4.285714286,0,3.738095238,0.333333333,0.428571429,0.285714286,0.492857143,3.333333333,0.724137931,1.380952381,0.761904762,-1.930095831,-1.104357476,-0.745670371,-1.437938066,-1.551580989,-0.567703157,0.352377185,-0.147195307,1.593286255
,25,290,-0.672557989,Kyle Korver,,PHI,G,74,11.89189189,4.445945946,1.094594595,1.472972973,0.527027027,0.310810811,0.108108108,0.354938272,4.378378378,0.782608696,0.310810811,0.554054054,-1.897811405,0.365132287,-1.624695991,-1.337009336,-1.834180648,-0.815543775,-0.803863756,0.024126982,1.870823741
,25,291,-0.673050439,Ronald Dupree,,CHI,F,47,18.9787234,6.170212766,0.085106383,3.531914894,1.170212766,0.680851064,0.382978723,0.391459075,5.978723404,0.628571429,2.234042553,1.085106383,-1.550395893,-0.990102428,-0.825682743,-1.001862028,-0.946165187,-0.431975454,-0.652786033,-0.820207969,1.161723782
,26,301,-0.687035323,Sasha Pavlovic,,UTA,G,78,14.57692308,4.871794872,0.243589744,2.025641026,0.769230769,0.525641026,0.192307692,0.397849462,4.769230769,0.773809524,1.076923077,0.858974359,-1.812008837,-0.77733902,-1.410222192,-1.210803285,-1.318635243,-0.698047429,-0.451683599,0.031749873,1.46367182
,27,313,-0.699537787,Luke Walton,,LAL,F,72,10.125,2.416666667,0.180555556,1.763888889,1.569444444,0.388888889,0.111111111,0.424836601,2.125,0.704545455,0.611111111,0.611111111,-2.306682638,-0.861962217,-1.5118003,-0.793832816,-1.646810383,-0.811353234,-0.066572732,-0.09146274,1.79463698
