Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,1,12,0.474621549,Karl-Anthony Towns,,MIN,C,82,32.02520325,18.32926829,0.365853659,10.41463415,1.963414634,0.707317073,1.682926829,0.542534722,14.04878049,0.810909091,3.353658537,2.231707317,0.803281484,-0.800263125,1.972364464,-0.49386795,-0.750866043,1.708394072,2.05605624,0.305521117,-0.529026313
,5,50,0.095051423,Kristaps Porzingis,Out for season - acl surgery (0g),NYK,F,72,28.44282407,14.27777778,1.125,7.305555556,1.291666667,0.722222222,1.861111111,0.420993228,12.30555556,0.8375,3.333333333,1.680555556,0.012801237,0.031842996,0.677502422,-0.801038522,-0.716386871,2.015153624,-1.034186671,0.52321643,0.146558165
,9,105,-0.189021417,Jahlil Okafor,,PHI,C,53,30.01037736,17.50943396,0.018867925,7.037735849,1.226415094,0.41509434,1.150943396,0.508322663,14.73584906,0.68556701,3.660377358,2.339622642,0.643324836,-1.180596846,0.565961475,-0.830876146,-1.426847071,0.79253888,1.200092056,-0.803484418,-0.66130552
,10,120,-0.224932326,Myles Turner,,IND,C,60,22.78638889,10.31666667,0.05,5.55,0.683333333,0.416666667,1.433333333,0.498113208,8.833333333,0.727272727,2.016666667,1.116666667,-0.76004522,-1.14647274,-0.053647397,-1.079211449,-1.423209902,1.278697422,0.552185401,-0.230442463,0.837755413
,12,135,-0.257940868,Rondae Hollis-Jefferson,,BKN,F,29,21.22298851,5.75862069,0.137931034,5.310344828,1.482758621,1.344827586,0.551724138,0.456521739,4.75862069,0.711538462,1.793103448,0.896551724,-1.649358744,-1.050090859,-0.153458443,-0.713657797,0.723848146,-0.239068563,-0.073462385,-0.27378455,1.10756538
,12,136,-0.258997082,Willie Cauley-Stein,,SAC,C,66,21.38661616,7.015151515,0,5.333333333,0.560606061,0.727272727,1,0.563421829,5.136363636,0.648,1.893939394,0.696969697,-1.404198897,-1.201278123,-0.143884242,-1.135331018,-0.704703846,0.532676853,0.961212774,-0.587673983,1.352206746
,15,176,-0.36714536,D'Angelo Russell,,LAL,G,80,28.23854167,13.175,1.625,3.4,3.325,1.1625,0.1625,0.410471204,11.9375,0.736842105,2.375,2.45,-0.202360084,0.579896827,-0.94907455,0.128744959,0.30208086,-0.909151362,-1.241168037,-0.216674242,-0.796602611
,16,182,-0.379135698,Larry Nance Jr.,,LAL,F,63,20.09100529,5.53968254,0.015873016,4.952380952,0.698412698,0.857142857,0.365079365,0.526666667,4.761904762,0.680851064,0.746031746,0.650793651,-1.692075439,-1.183879589,-0.302542431,-1.072316099,-0.404283195,-0.560393578,0.559917841,-0.16545668,1.408807889
,16,186,-0.382550781,T.J. McConnell,,PHI,G,81,19.82633745,6.086419753,0.382716049,3.086419753,4.530864198,1.172839506,0.12345679,0.469827586,5.728395062,0.634146341,0.50617284,1.728395062,-1.58540236,-0.781780129,-1.079673744,0.680151161,0.325998609,-0.976367603,0.054168288,-0.167969255,0.087918005
,17,203,-0.434258306,Devin Booker,Questionable - right hand sprain,PHO,G,76,27.73245614,13.78947368,1.302631579,2.460526316,2.618421053,0.578947368,0.263157895,0.423298731,11.40789474,0.83984375,3.368421053,2.105263158,-0.082471043,0.226546331,-1.340344432,-0.194352795,-1.047815852,-0.735860147,-0.908173019,0.548181245,-0.374035043
,18,207,-0.449108822,Josh Richardson,,MIA,F,52,21.28653846,6.557692308,1.019230769,2.057692308,1.403846154,0.692307692,0.480769231,0.452205882,5.230769231,0.666666667,1.211538462,0.673076923,-1.493453078,-0.084091468,-1.508115831,-0.749742145,-0.785586329,-0.361223533,-0.124508635,-0.316752131,1.381493756
,19,224,-0.470050479,Frank Kaminsky,,CHA,F,81,21.08127572,7.481481481,0.839506173,4.148148148,1.197530864,0.456790123,0.530864198,0.40952381,6.481481481,0.72972973,1.827160494,0.716049383,-1.313213955,-0.281088975,-0.637487496,-0.844084054,-1.330394757,-0.274980743,-0.681181201,-0.196842594,1.328819467
