AlsoNoticed,BFROid,Class,County,Date,Environment,LocationDetails,Month,NearestRoad,NearestTown,NoName,Number of Records,Observed,OtherStories,OtherWitnesses,Season,SightingId,State,Submitted,TimeAndConditions,Title,URL,YearGroup,YearofSighting
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,Unknown,,,,1,,,,,,,,,,,,Unknown
,,,,,,,"1OTHER STORIES: No.TIME AND CONDITIONS: 1hr after sunrise, sunny, warm.ENVIRONMENT: rolling hills, pine forest. Follow-up investigation report by BFRO Investigator Tim Staudt: I spoke with the witness on May 29, 2009. I found him to be very credible, and",,,,1,,,,http://www.bfro.net/GDB/show_report.asp?id=18680&PrinterFriendly=True,,,,,,,,Unknown
,,,,,,,"Just myself. My buddy was driving.OTHER STORIES: No I haven''tTIME AND CONDITIONS: Approximately 3 pm The sun was out and a few clouds were present.ENVIRONMENT: Forests, wash area, creek and forest again. Its exposure to the open was limited. Follow-up in",,,,1,,,,http://www.bfro.net/GDB/show_report.asp?id=4301&PrinterFriendly=True,,,,,,,,Unknown
"Numerous times have found sticks and limbs stacked in a sort of teepee shaped formation. Several times, after driving down a fire break, returned a day or two later and found a tree pushed down across the break and there has been no storm or wind.",577,Class A,Colbert County,,"Thick hardwood forests covering ridges and deep hollows along the Tennessee River. Small creeks and springs flowing into the river. About 1/2 mile back from the river, the terrain changes to pastures and croplands, with thick hedgerows and some woodlots w",East of Muscle Shoals. [More specific directions not posted at this time due to current investigation].,Unknown,,"Muscle Shoals, Alabama",,1, In 1979 and ''80 I was living in my grandparent''s old homeplace on our family farm in Alabama.  The farm has about 300 acres of woods covering an area of deep hollows leading down to sloughs off of a river.  <BR><BR>In late summer and fall of ''79 we ha,"Yes, there have been reports for decades of sightings and incidents in the area [these are also confidential for the present while follow up reports are being done - BFRO].",Two (see description above to see what they were doing beforehand),Fall,34,Alabama,"Submitted by witness on Thursday, November 02, 2000.","I have heard screams anytime from late afternoon to around midnight, but once at about 7 am. The weather has usually been clear with little wind blowing. A couple of times its been overcast. I rarely was out when it was raining or stormy. The sightings al",Man has repeated visits at family farm,http://www.bfro.net/GDB/show_report.asp?id=577&PrinterFriendly=True,1979,1979
,1022,Class A,Walker County,,,1 1/2miles southeast of Nauvoo Alabama.,Unknown,,,,1, Back in 1990 i was having predation problems on some property i was leasing. something was killing and eating my chickens i was raising. so me and my friend bj decided to doa little varmit hunting. we set up in some tall sage grass in the field behind my,,Hunting,Fall,76,Alabama,"Submitted by witness D. P. on Saturday, September 15, 1990.",,Hunters observe creature walking in the woods,http://www.bfro.net/GDB/show_report.asp?id=1022&PrinterFriendly=True,1990,1990
"sir when i came around the curve bigfoot was standing there on the side of the road about eight feet from where i was in the car when i came around the curve my head lights were right on him,i am positive of what i saw.Also he was hunched over like he wan",25238,Class A,Talladega County,,talledaga natinal forest in alabama,"all i know is that i was driving down hwy 21 when i came upon a sign that said 20 mph a sharp turn was ahead and i had my daughter in the front seat {she is grown} and my grandaughter in the back seat,so i went very careful around the turn.",Unknown,hwy 21,dont remember,,1,,no,my oldest daughter was in the front seat,Fall,71,Alabama,"Submitted by witness on Wednesday, December 31, 2008.",11pm at night,Woman recalls encountering a creature while driving through Talladega National Forest,http://www.bfro.net/GDB/show_report.asp?id=25238&PrinterFriendly=True,1999,1999
,3296,Class A,Limestone County,,"it was at the swan creek area, the sighting was crossing the road, right past a bridge, in a swampy area, there are two bridges there, the first going over a small creek, the second is the swampy area, that is where it was seen, then crossed the road into",swan creek management area,Unknown,swan creek road,"athens, al",,1," The subject that my brother saw was between 8-9 ft tall.  It had brown hair covering its body, appeared to have no neck, very long arms, took long strides. It was started to cross a road when he came up on it.  It never moved any faster, just glanced sid","a neighbor has seen very large prints that he believes may belong to a bigfoot. i believe he may have a cast of one that he found, it was by a creek area.","my brother is 45 yrs old, he was going in to work early at a general motors plant. he was by himself. 2;00 am.",Fall,48,Alabama,"Submitted by witness on Saturday, November 03, 2001.","2:00 a.m. fair weather, lights from the vehicle shining on it.",Man on his way to work sees sasquatch crossing road in his headlights,http://www.bfro.net/GDB/show_report.asp?id=3296&PrinterFriendly=True,2001,2001
"Nothing..we have tried to figure out exactly where this occurred on other trips to and from Anchorage over the years, but have never been able to pin it down for sure.",1260,Class A,Matanuska-Susitna County,,"There were high cutaway embankments on each side of the road..ahead of us was a corner with a metal rail going downhill to the left. Once you get to the bottom of the hill, you are around the Hotel and Raft Rental area of Denali..The landscape would be ev",The incident occurred on the highway from Anchorage to Fairbanks Alaska just before the tourist area of the Denali Park.,Unknown,,,,1," A friend and I were driving back to Fairbanks from Anchorage..I was driving her truck-a 1980 Dodge d50 ..these trucks sit very low to the ground..It was late at night, and we were just about to the tourist Area of the Denali Park.  It wasn''t winter yet,",,"We weren''t talking, She was going to take a nap, I figured she was asleep, and I was just seeing things..until she mentioned it in Healy.",Fall,14,Alaska,"Submitted by witness on Saturday, October 18, 1997.",,Two witnesses see a large orangutan-type animal sitting in the road,http://www.bfro.net/GDB/show_report.asp?id=1260&PrinterFriendly=True,1992,1992
,1261,Class A,Valdez-Chitina-Whittier County,,,East side of Prince William Sound,Unknown,,,,1," Ed L. was salmon fishing with a companion in Prince William Sound. After anchoring off shore, his companion took a small boat up a river to check on the state of the salmon run. As the day wore on toward evening and he didn''t come back at the expected t",,On a commercial fishing boat at anchor at the mouth of one of the rivers discharging into the bay.,Fall,21,Alaska,"Submitted by Henner Fahrenbach on Wednesday, January 01, 1997.","Early Fall, in the early 1990''s.",Fisherman views a sasquatch through binoculars at a distance of 1000 feet,http://www.bfro.net/GDB/show_report.asp?id=1261&PrinterFriendly=True,1993,1993
,7234,Class A,Lee County,,Farm,,Unknown,,Wheatley,,1," The year was 1964, this was in Lee County Arkansas,  we lived on 164 acre farm at the time .I was 11 years old, I was playing outside in the front yard about 2 in the afternoon, I looked up and seen something walking up the road ,It was very tall and had","yes, I heard one of our neighbors was home alone , she hear the dogs barking and went too see what they was barking at and saw one Kicking the tires on an old car in her yard.",2,Fall,112,Arkansas,"Submitted by witness No on Monday, October 27, 2003.",2pm,Daylight sighting by two sisters near their farm in the early 1960s,http://www.bfro.net/GDB/show_report.asp?id=7234&PrinterFriendly=True,1961,1961
