DATE,DJIA
2/8/2013,13992.97
2/11/2013,13971.24
2/12/2013,14018.7
2/13/2013,13982.91
2/14/2013,13973.39
2/15/2013,13981.76
2/18/2013,.
2/19/2013,14035.67
2/20/2013,13927.54
2/21/2013,13880.62
2/22/2013,14000.57
2/25/2013,13784.17
2/26/2013,13900.13
2/27/2013,14075.37
2/28/2013,14054.49
3/1/2013,14089.66
3/4/2013,14127.82
3/5/2013,14253.77
3/6/2013,14296.24
3/7/2013,14329.49
3/8/2013,14397.07
3/11/2013,14447.29
3/12/2013,14450.06
3/13/2013,14455.28
3/14/2013,14539.14
3/15/2013,14514.11
3/18/2013,14452.06
3/19/2013,14455.82
3/20/2013,14511.73
3/21/2013,14421.49
3/22/2013,14512.03
3/25/2013,14447.75
3/26/2013,14559.65
3/27/2013,14526.16
3/28/2013,14578.54
3/29/2013,.
4/1/2013,14572.85
4/2/2013,14662.01
4/3/2013,14550.35
4/4/2013,14606.11
4/5/2013,14565.25
4/8/2013,14613.48
4/9/2013,14673.46
4/10/2013,14802.24
4/11/2013,14865.14
4/12/2013,14865.06
4/15/2013,14599.2
4/16/2013,14756.78
4/17/2013,14618.59
4/18/2013,14537.14
4/19/2013,14547.51
4/22/2013,14567.17
4/23/2013,14719.46
4/24/2013,14676.3
4/25/2013,14700.8
4/26/2013,14712.55
4/29/2013,14818.75
4/30/2013,14839.8
5/1/2013,14700.95
5/2/2013,14831.58
5/3/2013,14973.96
5/6/2013,14968.89
5/7/2013,15056.2
5/8/2013,15105.12
5/9/2013,15082.62
5/10/2013,15118.49
5/13/2013,15091.68
5/14/2013,15215.25
5/15/2013,15275.69
5/16/2013,15233.22
5/17/2013,15354.4
5/20/2013,15335.28
5/21/2013,15387.58
5/22/2013,15307.17
5/23/2013,15294.5
5/24/2013,15303.1
5/27/2013,.
5/28/2013,15409.39
5/29/2013,15302.8
5/30/2013,15324.53
5/31/2013,15115.57
6/3/2013,15254.03
6/4/2013,15177.54
6/5/2013,14960.59
6/6/2013,15040.62
6/7/2013,15248.12
6/10/2013,15238.59
6/11/2013,15122.02
6/12/2013,14995.23
6/13/2013,15176.08
6/14/2013,15070.18
6/17/2013,15179.85
6/18/2013,15318.23
6/19/2013,15112.19
6/20/2013,14758.32
6/21/2013,14799.4
6/24/2013,14659.56
6/25/2013,14760.31
6/26/2013,14910.14
6/27/2013,15024.49
6/28/2013,14909.6
7/1/2013,14974.96
7/2/2013,14932.41
7/3/2013,14988.55
7/4/2013,.
7/5/2013,15135.84
7/8/2013,15224.69
7/9/2013,15300.34
7/10/2013,15291.66
7/11/2013,15460.92
7/12/2013,15464.3
7/15/2013,15484.26
7/16/2013,15451.85
